================================================================================
DAY 13 - RATIO EDGE CASE REVIEW
================================================================================
ATGL | Mar 2019 | ROCE | Computed=36.43 | Source=21.20 | Difference=15.23 | Category=Version Difference
ATGL | Mar 2020 | ROE | Computed=29.64 | Source=20.50 | Difference=9.14 | Category=Version Difference
ATGL | Mar 2020 | ROCE | Computed=33.49 | Source=21.20 | Difference=12.29 | Category=Version Difference
ATGL | Mar 2021 | ROCE | Computed=30.21 | Source=21.20 | Difference=9.01 | Category=Version Difference
BAJAJ-AUTO | Mar 2013 | ROE | Computed=38.85 | Source=26.50 | Difference=12.35 | Category=Version Difference
BAJAJ-AUTO | Mar 2013 | ROCE | Computed=44.70 | Source=33.50 | Difference=11.20 | Category=Version Difference
BAJAJ-AUTO | Mar 2014 | ROE | Computed=33.24 | Source=26.50 | Difference=6.74 | Category=Version Difference
BAJAJ-AUTO | Mar 2014 | ROCE | Computed=40.72 | Source=33.50 | Difference=7.22 | Category=Version Difference
BAJAJ-AUTO | Mar 2017 | ROCE | Computed=24.64 | Source=33.50 | Difference=8.86 | Category=Version Difference
BAJAJ-AUTO | Mar 2018 | ROE | Computed=20.66 | Source=26.50 | Difference=5.84 | Category=Version Difference
BAJAJ-AUTO | Mar 2018 | ROCE | Computed=23.59 | Source=33.50 | Difference=9.91 | Category=Version Difference
BAJAJ-AUTO | Mar 2019 | ROE | Computed=21.21 | Source=26.50 | Difference=5.29 | Category=Version Difference
BAJAJ-AUTO | Mar 2019 | ROCE | Computed=22.27 | Source=33.50 | Difference=11.23 | Category=Version Difference
BAJAJ-AUTO | Mar 2020 | ROCE | Computed=23.46 | Source=33.50 | Difference=10.04 | Category=Version Difference
BAJAJ-AUTO | Mar 2021 | ROE | Computed=17.81 | Source=26.50 | Difference=8.69 | Category=Version Difference
BAJAJ-AUTO | Mar 2021 | ROCE | Computed=18.05 | Source=33.50 | Difference=15.45 | Category=Version Difference
BAJAJ-AUTO | Mar 2022 | ROE | Computed=20.65 | Source=26.50 | Difference=5.85 | Category=Version Difference
BAJAJ-AUTO | Mar 2022 | ROCE | Computed=17.57 | Source=33.50 | Difference=15.93 | Category=Version Difference
BAJAJ-AUTO | Mar 2023 | ROE | Computed=20.64 | Source=26.50 | Difference=5.86 | Category=Version Difference
BAJAJ-AUTO | Mar 2023 | ROCE | Computed=22.06 | Source=33.50 | Difference=11.44 | Category=Version Difference
AXISBANK | Mar 2017 | ROE | Computed=6.53 | Source=18.40 | Difference=11.87 | Category=Version Difference
AXISBANK | Mar 2018 | ROE | Computed=0.43 | Source=18.40 | Difference=17.97 | Category=Version Difference
AXISBANK | Mar 2019 | ROE | Computed=6.90 | Source=18.40 | Difference=11.50 | Category=Version Difference
AXISBANK | Mar 2020 | ROE | Computed=1.88 | Source=18.40 | Difference=16.52 | Category=Version Difference
AXISBANK | Mar 2021 | ROE | Computed=6.36 | Source=18.40 | Difference=12.04 | Category=Version Difference
AXISBANK | Mar 2022 | ROE | Computed=11.01 | Source=18.40 | Difference=7.39 | Category=Version Difference
AXISBANK | Mar 2023 | ROE | Computed=7.38 | Source=18.40 | Difference=11.02 | Category=Version Difference
BAJAJFINSV | Mar 2013 | ROE | Computed=28.38 | Source=11.72 | Difference=16.66 | Category=Version Difference
BAJAJFINSV | Mar 2014 | ROE | Computed=23.53 | Source=11.72 | Difference=11.81 | Category=Version Difference
BAJAJFINSV | Mar 2015 | ROE | Computed=21.72 | Source=11.72 | Difference=10.00 | Category=Version Difference
BAJAJFINSV | Mar 2016 | ROE | Computed=20.41 | Source=11.72 | Difference=8.69 | Category=Version Difference
BAJAJFINSV | Mar 2017 | ROE | Computed=21.36 | Source=11.72 | Difference=9.64 | Category=Version Difference
BAJAJFINSV | Mar 2018 | ROE | Computed=20.39 | Source=11.72 | Difference=8.67 | Category=Version Difference
BAJAJFINSV | Mar 2019 | ROE | Computed=22.64 | Source=11.72 | Difference=10.92 | Category=Version Difference
BAJAJFINSV | Mar 2020 | ROE | Computed=19.15 | Source=11.72 | Difference=7.43 | Category=Version Difference
BAJAJFINSV | Mar 2021 | ROE | Computed=20.56 | Source=11.72 | Difference=8.84 | Category=Version Difference
BAJAJFINSV | Mar 2022 | ROE | Computed=20.66 | Source=11.72 | Difference=8.94 | Category=Version Difference
BAJAJFINSV | Mar 2022 | ROCE | Computed=15.43 | Source=21.14 | Difference=5.71 | Category=Version Difference
BAJAJFINSV | Mar 2023 | ROE | Computed=26.31 | Source=11.72 | Difference=14.59 | Category=Version Difference
BAJAJFINSV | Mar 2024 | ROE | Computed=25.85 | Source=11.72 | Difference=14.13 | Category=Version Difference
BAJAJHLDNG | Mar 2013 | ROCE | Computed=3.11 | Source=13.10 | Difference=9.99 | Category=Version Difference
BAJAJHLDNG | Mar 2014 | ROCE | Computed=3.33 | Source=13.10 | Difference=9.77 | Category=Version Difference
BAJAJHLDNG | Mar 2015 | ROCE | Computed=3.61 | Source=13.10 | Difference=9.49 | Category=Version Difference
BAJAJHLDNG | Mar 2016 | ROCE | Computed=2.81 | Source=13.10 | Difference=10.29 | Category=Version Difference
BAJAJHLDNG | Mar 2017 | ROCE | Computed=3.52 | Source=13.10 | Difference=9.58 | Category=Version Difference
BAJAJHLDNG | Mar 2018 | ROCE | Computed=1.41 | Source=13.10 | Difference=11.69 | Category=Version Difference
BAJAJHLDNG | Mar 2019 | ROCE | Computed=1.29 | Source=13.10 | Difference=11.81 | Category=Version Difference
BAJAJHLDNG | Mar 2020 | ROCE | Computed=1.12 | Source=13.10 | Difference=11.98 | Category=Version Difference
BAJAJHLDNG | Mar 2021 | ROCE | Computed=0.95 | Source=13.10 | Difference=12.15 | Category=Version Difference
BAJAJHLDNG | Mar 2022 | ROE | Computed=9.63 | Source=14.80 | Difference=5.17 | Category=Version Difference
BAJAJHLDNG | Mar 2022 | ROCE | Computed=0.86 | Source=13.10 | Difference=12.24 | Category=Version Difference
BAJAJHLDNG | Mar 2023 | ROCE | Computed=0.87 | Source=13.10 | Difference=12.23 | Category=Version Difference
BAJAJHLDNG | Mar 2024 | ROCE | Computed=2.88 | Source=13.10 | Difference=10.22 | Category=Version Difference
BAJFINANCE | Mar 2015 | ROCE | Computed=5.65 | Source=11.90 | Difference=6.25 | Category=Version Difference
BAJFINANCE | Mar 2016 | ROCE | Computed=5.37 | Source=11.90 | Difference=6.53 | Category=Version Difference
BAJFINANCE | Mar 2017 | ROCE | Computed=5.56 | Source=11.90 | Difference=6.34 | Category=Version Difference
BAJFINANCE | Mar 2018 | ROE | Computed=15.75 | Source=22.10 | Difference=6.35 | Category=Version Difference
BAJFINANCE | Mar 2018 | ROCE | Computed=5.01 | Source=11.90 | Difference=6.89 | Category=Version Difference
BAJFINANCE | Mar 2019 | ROCE | Computed=4.51 | Source=11.90 | Difference=7.39 | Category=Version Difference
BAJFINANCE | Mar 2020 | ROE | Computed=16.28 | Source=22.10 | Difference=5.82 | Category=Version Difference
BAJFINANCE | Mar 2020 | ROCE | Computed=5.65 | Source=11.90 | Difference=6.25 | Category=Version Difference
BAJFINANCE | Mar 2021 | ROE | Computed=11.97 | Source=22.10 | Difference=10.13 | Category=Version Difference
BAJFINANCE | Mar 2021 | ROCE | Computed=6.43 | Source=11.90 | Difference=5.47 | Category=Version Difference
BAJFINANCE | Mar 2022 | ROE | Computed=16.08 | Source=22.10 | Difference=6.02 | Category=Version Difference
BAJFINANCE | Mar 2022 | ROCE | Computed=5.68 | Source=11.90 | Difference=6.22 | Category=Version Difference
BAJFINANCE | Mar 2023 | ROCE | Computed=4.68 | Source=11.90 | Difference=7.22 | Category=Version Difference
BAJFINANCE | Mar 2024 | ROCE | Computed=4.35 | Source=11.90 | Difference=7.55 | Category=Version Difference
BANKBARODA | Mar 2015 | ROE | Computed=9.40 | Source=16.70 | Difference=7.30 | Category=Version Difference
BANKBARODA | Mar 2016 | ROE | Computed=-11.84 | Source=16.70 | Difference=28.54 | Category=Formula Discrepancy
BANKBARODA | Mar 2017 | ROE | Computed=4.31 | Source=16.70 | Difference=12.39 | Category=Version Difference
BANKBARODA | Mar 2018 | ROE | Computed=-3.94 | Source=16.70 | Difference=20.64 | Category=Formula Discrepancy
BANKBARODA | Mar 2019 | ROE | Computed=2.12 | Source=16.70 | Difference=14.58 | Category=Version Difference
BANKBARODA | Mar 2020 | ROE | Computed=1.29 | Source=16.70 | Difference=15.41 | Category=Version Difference
BANKBARODA | Mar 2021 | ROE | Computed=1.97 | Source=16.70 | Difference=14.73 | Category=Version Difference
BANKBARODA | Mar 2022 | ROE | Computed=8.64 | Source=16.70 | Difference=8.06 | Category=Version Difference
BHARTIARTL | Mar 2013 | ROE | Computed=4.50 | Source=14.90 | Difference=10.40 | Category=Version Difference
BHARTIARTL | Mar 2013 | ROCE | Computed=23.47 | Source=13.10 | Difference=10.37 | Category=Version Difference
BHARTIARTL | Mar 2014 | ROE | Computed=5.05 | Source=14.90 | Difference=9.85 | Category=Version Difference
BHARTIARTL | Mar 2014 | ROCE | Computed=23.88 | Source=13.10 | Difference=10.78 | Category=Version Difference
BHARTIARTL | Mar 2015 | ROCE | Computed=30.89 | Source=13.10 | Difference=17.79 | Category=Version Difference
BHARTIARTL | Mar 2016 | ROCE | Computed=25.40 | Source=13.10 | Difference=12.30 | Category=Version Difference
BHARTIARTL | Mar 2017 | ROE | Computed=6.29 | Source=14.90 | Difference=8.61 | Category=Version Difference
BHARTIARTL | Mar 2017 | ROCE | Computed=25.68 | Source=13.10 | Difference=12.58 | Category=Version Difference
BHARTIARTL | Mar 2018 | ROE | Computed=3.14 | Source=14.90 | Difference=11.76 | Category=Version Difference
BHARTIARTL | Mar 2018 | ROCE | Computed=21.79 | Source=13.10 | Difference=8.69 | Category=Version Difference
BHARTIARTL | Mar 2019 | ROE | Computed=2.36 | Source=14.90 | Difference=12.54 | Category=Version Difference
