id_x,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,id_y,peer_group_name,is_benchmark,chart_file
992,SHRIRAMFIN,Mar 2024,5.566623159533786,29.0,0.4305825181392098,,26.86414571478537,0.6767,0.1466,46.0707644832452,258.0,39.0,13.0178,23.0,195496.0,-31101.0,,,,,56.0,Consumer Finance,False,SHRIRAMFIN_radar.png
1004,SIEMENS,Sep 2024,3.7095555402898945,14.0,0.4849053981782886,,0.12241548623162088,67.15,0.8791,67.51836368671617,502.0,76.0,21.6296,16.0,279.0,1670.0,,,,,,No peer group assigned,False,SIEMENS_radar.png
1016,SUNPHARMA,Mar 2024,5.449840855487623,28.0,0.42995085674340655,,0.3457228567200721,58.3319,0.5685,74.24666024871752,763.0,40.0,26.5279,34.0,3274.0,12135.0,,,,,15.0,Pharmaceuticals,True,SUNPHARMA_radar.png
1028,TATACONSUM,Mar 2024,2.7409493714364226,15.0,0.27161440019539396,,1.4562061961069186,25.3218,0.5454,66.76535362460272,1911.0,12.0,16.9021,64.0,3477.0,1937.0,,,,,53.0,FMCG,False,TATACONSUM_radar.png
1040,TATAMOTORS,Mar 2024,2.5737903872134824,14.0,0.9009597042140237,,8.49576926698683,6.5302,1.1851,96.50793232140738,22782.0,94.0,11.0859,7.0,107262.0,67915.0,,,,,21.0,Automobiles,False,TATAMOTORS_radar.png
1052,TATAPOWER,Mar 2024,2.507384763344095,17.0,0.3907878502036056,,11.160660236490576,3.0544,0.4419,69.10153107650108,9027.0,12.0,10.1113,17.0,53689.0,12596.0,,,,,38.0,Power & Utilities,False,TATAPOWER_radar.png
1064,TATASTEEL,Mar 2024,0.42133223420576577,10.0,0.0,,6.364260058920861,2.1634,0.8509,70.736129976658,14253.0,-4.0,7.3805,-101.0,87082.0,20301.0,,,,,43.0,Steel,True,TATASTEEL_radar.png
1076,TCS,Mar 2024,5.294131116759406,27.0,1.1847862247282803,,0.5959347296770114,87.0951,1.6559,100.0,6091.0,127.0,24.997,58.0,8021.0,44338.0,,,,,10.0,IT Services,True,TCS_radar.png
1099,TECHM,Mar 2024,1.9669803759932218,9.0,0.30151303959674736,,0.6396545461883046,13.8597,1.205,70.0833454219362,1318.0,24.0,6.0474,150.0,2537.0,6376.0,,,,,13.0,IT Services,False,TECHM_radar.png
1112,TITAN,Mar 2024,2.4776167250578185,10.0,0.8959064130475977,,11.11895825766442,9.412,1.6193,67.74123356499491,189.0,39.0,10.5539,28.0,15528.0,1695.0,,,,,,No peer group assigned,False,TITAN_radar.png
1124,TORNTPHARM,Mar 2024,4.446886950149985,31.0,0.6207125982759855,,3.94554528700378,9.9266,0.7396,68.79623890595946,160.0,49.0,4.0568,57.0,4022.0,3266.0,,,,,19.0,Pharmaceuticals,False,TORNTPHARM_radar.png
1136,TRENT,Mar 2024,3.6454397655194515,16.0,0.8767460173748994,,2.898287528417881,8.0435,1.7279,67.30274697015653,508.0,42.0,11.3,8.0,1753.0,1349.0,,,,,,No peer group assigned,False,TRENT_radar.png
1148,TVSMOTOR,Mar 2024,1.950951432300611,14.0,0.6642972345864091,,25.78392994067557,2.9077,0.9315,65.26197101372826,1001.0,36.0,14.1333,23.0,26006.0,-1253.0,,,,,26.0,Automobiles,False,TVSMOTOR_radar.png
