id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,sales,net_profit,operating_profit,broad_sector
3424,AXISBANK,Mar 2022,19.33,44.47,11.01,8.63,1.97,0.06,1025.0,40.24,42.0,509.0,2.0,1020943.0,28137.0,14.01,74.58,69.92,1.0,67377.0,13025.0,29962.0,Financials
3423,AXISBANK,Mar 2021,10.4,50.12,6.36,8.21,2.59,0.06,-41655.0,85.7,22.0,509.0,0.0,850551.0,12633.0,14.01,74.58,69.92,1.0,63346.0,6588.0,31749.0,Financials
3422,AXISBANK,Mar 2020,2.6,55.98,1.88,9.23,2.26,0.07,20931.0,15.14,6.0,509.0,0.0,797337.0,30416.0,14.01,74.58,69.92,1.0,62635.0,1627.0,35066.0,Financials
3421,AXISBANK,Mar 2019,8.51,49.39,6.9,10.5,2.07,0.07,18451.0,33.96,18.0,509.0,6.0,711996.0,37125.0,14.01,74.58,69.92,1.0,54986.0,4677.0,27155.0,Financials
3420,AXISBANK,Mar 2018,0.6,63.12,0.43,9.52,2.63,0.07,-48397.0,21.86,1.0,509.0,0.0,611425.0,-38390.0,14.01,74.58,69.92,1.0,45780.0,276.0,28895.0,Financials
3419,AXISBANK,Mar 2017,8.26,53.45,6.53,9.36,2.04,0.07,19751.0,27.97,15.0,509.0,33.0,527437.0,32209.0,14.01,74.58,69.92,1.0,44542.0,3679.0,23808.0,Financials
4328,SUNPHARMA,TTM,22.1,27.95,,,65.4,,,,46.0,288.0,,,,8.91,21.65,23.52,1.0,50308.0,11117.0,14059.0,Healthcare
3442,BAJAJFINSV,Mar 2014,36.38,74.56,23.53,2.09,2.88,0.08,-6043.0,62.49,10.0,428.0,2.0,19507.0,-9807.0,18.36,22.48,20.34,1.0,6023.0,2191.0,4491.0,Financials
3441,BAJAJFINSV,Mar 2013,27.49,48.8,28.38,1.67,3.27,0.12,-3969.0,36.66,10.0,428.0,2.0,12991.0,-6922.0,18.36,22.48,20.34,1.0,8055.0,2214.0,3931.0,Financials
3462,BAJAJHLDNG,Mar 2021,799.56,77.02,9.83,0.0,950.75,0.01,-36.0,67.4,328.0,5375.0,12.0,136.0,272.0,31.84,19.44,19.88,1.0,457.0,3654.0,352.0,Financials
3461,BAJAJHLDNG,Mar 2020,708.05,69.2,11.09,0.01,258.38,0.01,1120.0,183.91,269.0,5375.0,15.0,168.0,1920.0,31.84,19.44,19.88,1.0,435.0,3080.0,301.0,Financials
3460,BAJAJHLDNG,Mar 2019,707.19,80.51,11.31,0.0,,0.02,465.0,37.82,274.0,5375.0,12.0,0.0,628.0,31.84,19.44,19.88,1.0,431.0,3048.0,347.0,Financials
3459,BAJAJHLDNG,Mar 2018,632.14,84.52,10.54,0.0,,0.02,508.0,267.38,239.0,5375.0,17.0,0.0,1631.0,31.84,19.44,19.88,1.0,420.0,2655.0,355.0,Financials
4290,SHREECEM,TTM,8.75,21.34,,,21.15,,,,480.0,5787.0,,,,9.0,2.34,2.42,1.0,19802.0,1733.0,4226.0,Materials
4281,SHREECEM,Mar 2016 9m,20.73,25.52,,,27.37,,,,328.0,5787.0,7.0,,,9.0,2.34,2.42,1.0,5514.0,1143.0,1407.0,Materials
3427,AXISBANK,TTM,21.87,36.94,,,1.77,,,,85.0,509.0,,,,14.01,74.58,69.92,1.0,120659.0,26386.0,44566.0,Financials
3458,BAJAJHLDNG,Mar 2017,293.71,74.58,13.88,0.0,,0.05,-1295.0,44.18,222.0,5375.0,15.0,0.0,-923.0,31.84,19.44,19.88,1.0,842.0,2473.0,628.0,Financials
3457,BAJAJHLDNG,Mar 2016,481.91,91.28,14.81,0.0,,0.03,2166.0,216.81,204.0,5375.0,16.0,0.0,1147.0,31.84,19.44,19.88,1.0,470.0,2265.0,429.0,Financials
3452,BAJAJFINSV,Mar 2024,14.13,37.04,25.85,4.79,2.2,0.21,-79634.0,9.93,51.0,428.0,2.0,288933.0,-68674.0,18.36,22.48,20.34,1.0,110382.0,15595.0,40886.0,Financials
3451,BAJAJFINSV,Mar 2023,14.88,36.39,26.31,4.57,2.41,0.2,-53425.0,16.99,40.0,428.0,2.0,212265.0,-39480.0,18.36,22.48,20.34,1.0,82072.0,12210.0,29868.0,Financials
3450,BAJAJFINSV,Mar 2022,12.15,31.36,20.66,4.0,2.23,0.21,-32225.0,2.11,29.0,428.0,1.0,161179.0,-33670.0,18.36,22.48,20.34,1.0,68406.0,8314.0,21455.0,Financials
3449,BAJAJFINSV,Mar 2021,12.16,32.42,20.56,3.59,2.12,0.22,863.0,6.08,28.0,428.0,1.0,128461.0,4547.0,18.36,22.48,20.34,1.0,60592.0,7367.0,19641.0,Financials
3448,BAJAJFINSV,Mar 2020,11.03,33.59,19.15,4.06,1.92,0.22,-33317.0,18.3,21.0,428.0,2.0,127212.0,-23369.0,18.36,22.48,20.34,1.0,54351.0,5994.0,18258.0,Financials
3447,BAJAJFINSV,Mar 2019,12.61,35.29,22.64,4.2,2.26,0.2,-33979.0,16.2,20.0,428.0,1.0,99754.0,-27076.0,18.36,22.48,20.34,1.0,42605.0,5374.0,15037.0,Financials
3446,BAJAJFINSV,Mar 2018,12.71,32.83,20.39,3.21,2.38,0.2,-20502.0,2.81,17.0,428.0,1.0,65695.0,-19580.0,18.36,22.48,20.34,1.0,32862.0,4176.0,10788.0,Financials
3445,BAJAJFINSV,Mar 2017,14.08,35.55,21.36,2.99,2.34,0.19,-10771.0,0.62,14.0,428.0,1.0,48282.0,-10922.0,18.36,22.48,20.34,1.0,24507.0,3450.0,8713.0,Financials
3444,BAJAJFINSV,Mar 2016,13.51,32.82,20.41,2.65,2.34,0.2,-10681.0,4.32,12.0,428.0,1.0,36062.0,-9795.0,18.36,22.48,20.34,1.0,20533.0,2775.0,6739.0,Financials
3443,BAJAJFINSV,Mar 2015,21.25,48.62,21.72,2.37,2.47,0.13,-7022.0,32.72,11.0,428.0,2.0,26312.0,-10731.0,18.36,22.48,20.34,1.0,11335.0,2409.0,5511.0,Financials
4314,SIEMENS,Sep 2023,10.03,12.72,14.99,0.01,129.7,0.9,641.0,3.88,55.0,431.0,18.0,175.0,1400.0,11.19,19.85,19.64,1.0,19554.0,1962.0,2487.0,Industrials
4292,SHRIRAMFIN,Mar 2014,16.02,23.58,15.96,4.54,0.47,0.16,-4167.0,1.32,11.0,279.0,12.0,38630.0,-4055.0,19.21,30.35,20.11,1.0,8476.0,1358.0,1999.0,Financials
